음식명,총내용량,열량(kcal)(1회제공량당),탄수화물(g)(1회제공량당),단백질(g)(1회제공량당),지방(g)(1회제공량당),당류(g)(1회제공량당),나트륨(mg)(1회제공량당),콜레스테롤(mg)(1회제공량당),포화지방산(g)(1회제공량당),트랜스지방(g)(1회제공량당)
바나나볼,55,265,43,2,9,33,70,,1.2,
백미뻥이요,55,220,49,4,0.8,0,,,0,
버터롤쿠키(스탠드),80,435,43,8,26,19,80,,7,
삐약이계란과자,37.5,185,24,4,8,12,35,,4.9,
사르르콘스낵,48,295,24,2,22,6,160,,1.9,
삼색방울유과,60,265,44,1,9,16,5,,0,
쌀소라형과자,150,710,111,8,26,22,270,,1.6,
양파맛두부스낵,80,405,48,8,20,7,290,,1.8,
오곡야채크래커,90,430,63,7,16,5,330,,7,
오란다,85,375,65,5,11,16,240,,0.9,
옥수수팝칩,28,110,24,2.5,0.6,0,,,0,
우리곡초코링,50,205,42,3,3.1,18,90,,0,
우리땅콘칩,30,150,21,2,7,2,95,,3.2,
우리밀라면땅,105,480,72,18,16,3,680,,8,
우리밀라면땅떡볶이맛,105,480,73,8,17,3,550,,8,
우리밀로만든딸기웨하스,80,395,56,4,17,22,90,,7,
우리밀로만든와플,21,105,14,2,4.7,4,45,,2.6,
우리밀로만든웨하스,80,420,48,6,23,18,180,,11,0.2
우리밀로만든초코웨하스,80,405,98,8,20,22,130,,9,
우리밀로만든코코아와플,72,360,12,1,3.7,7,50,,1,
우리밀로만든현미와플,18,90,12,2,4.1,3,40,,2.2,
우리밀보리건빵,180,785,143,14,18,23,670,,10,
우리밀약과,150,685,100,7,29,21,15,,2.6,
우리밀참깨스틱,30,150,19,3,6,5,110,,2.2,
우리아이착한감자,30,145,22,2,5.6,2,190,,0.4,
우리아이착한새우,30,140,22,2,4.7,2,160,,0.3,
유기농땅콩쌀강정,120,505,96,8,10,36,60,,1.7,
유기농미프레이크,100,395,89,4,2.7,13,450,,0.6,
유기농쌀강정,120,470,104,5,3.4,42,80,,0,
유기농쌀로만든현미잠팝스,70,265,57,5,2,0.7,130,,2,
유기농쌀로만든현미팝스낵,80,310,66,6,2.1,0.7,180,,2,
유기농쌀프레이크,50,210,42,2,3.4,9,200,,0.4,
레인보우믹스*120G*도울,120,465,104,7,2.3,22,250,,0.6,
유기농핑거스틱단호박,40,150,33,3,,0,10,,0,
유기농핑거스틱자색고구마,40,150,33,3,0.5,0,10,,0,
유기농핑거스틱현미,40,155,32,3,1.3,0.7,,,0,
유기농현미스낵,30,120,26,2,0.7,0,85,,0,
인절미스낵,54,275,32,4,13,7,100,,1.3,
쥬웨이라이스비스킷,30,120,27,1.8,0.4,3,35,,0,
쥬웨이라이스비스킷단호박,30,120,27,1.7,0.5,2,,,0,
쥬웨이라이스비스킷바나나,30,120,27,1.7,0.5,3,30,,0,
쥬웨이라이스비스킷자색고구마,30,120,27,1.8,0.5,4,30,,0,
찹쌀유과,100,435,75,2,14,72,15,,1.4,
초코칩쿠키(스탠드),80,430,47,5,24,19,105,,12,0.3
초코쿠키(스탠드),80,420,44,7,24,17,140,,9,0.3
초코크림파이,34,165,18,2,9,9,80,,3.7,
코코아스낵,70,285,57,5,3.8,17,95,,1.2,
크런치초코,60,310,35,4,17,16,95,,8,
피넛오곡롤,90,450,56,5,25,25,70,,9,
현미뻥이요,55,220,48,4,1.5,0,,,0,
호박고구마스틱,67,300,50,2,10,17,30,,1.2,
호박고구마칩,55,325,29,2,22,9,10,,1.3,
흑임자전병,95,415,74,9,9,41,85,,0.8,
단팥가득바,70,100,21,2,1,11,25,,0.6,
과자속아이스빈,140,205,32,4,7,21,55,,3.3,
꼬마우산감귤,4,12,3,0,,2,,,0,
꼬마우산포도,4,8,2,0,,2,,,0,
눈꽃딸기샤베트,80,95,20,0.7,1.7,13,25,,1,
딸기머거바,80,125,19,2,4.6,14,30,,2.9,
리얼밀크바,70,110,16,3,3.7,15,35,,2.5,
리얼밀크초콜릿바,63,110,12,2,6,10,23,,2.3,
바닐라향아이스크림,100,150,14,3,9,13,45,,6,0.2
스노우화이트,120,157,15,4,9,8,,,6,
아이콘아이스크림,160,259,36,4,20,23,35,,4.9,
얼음속에귤한쪽,130,110,27,0,,17,10,,0,
얼음속에사과한쪽,130,110,27,0,,17,10,,0,
얼음속에카카오한쪽,130,175,29,2,6,18,40,,3.4,
초코가득바,70,115,15,2,5,12,45,,3.1,
초코샤베트,80,85,16,2,1.3,10,30,,0,
초코아이콘아이스크림,160,285,38,5,13,21,40,,7,0.3
초콜릿아이스크림,100,135,14,4,7,11,50,,4.1,
커피가득바,70,105,11,1,6,10,25,,3.9,
파인애플청량바,65,54,13,0.6,,7,,,0,
콜드브루 위드밀크,420,125,,7,4.1,,105,,,
콜드브루 플레인,420,15,,1,,,,,,
에스프레소,30,5,,0,,,,,,
스페셜티 아메리카노,360,15,,1,,,,,,
스페셜티 카페라떼,360,170,,9,4.4,,110,,,
스페셜티 카푸치노,360,180,,10,5,,115,,,
스페셜티 바닐라라떼,360,270,,9,6,,90,,,
스페셜티 카푸치노,360,180,,10,5,,115,,,
스페셜티 카라멜마끼아또,360,325,,8,5,,115,,,
스페셜티 카페모카,360,320,,10,10,,105,,,
아포카토,80,75,,2,1.1,,30,,,
스페셜티 화이트모카,360,345,,10,11,,120,,,
쿠키앤크림 드롭치노,420,555,,7,17,,210,,,
스트로베리 요거트 드롭치노,420,335,,5,2,,180,,,
블루베리 요거트 드롭치노,420,470,,6,11,,60,,,
플레인요거트 드롭치노,420,345,,6,2,,65,,,
그린티 드롭치노,420,340,,6,7,,50,,,
그린티 드롭치노,420,375,,9,9,,100,,,
모카 드롭치노,420,360,,8,11,,130,,,
딸기주스,420,245,,2,,,,,,
옐로우 펀치,420,105,,1,,,25,,,
그린 데이즈,420,120,,1,,,40,,,
오렌지 썸머,420,135,,1,,,70,,,
깔라만시 모히또,600,150,,,,,10,,,
그린키위주스,420,248,,2,,,39,,,
딸기바나나 주스,420,280,,4,1.6,,35,,,
토마토 주스,420,185,,2,,,59,,,
오렌지&자몽에이드,480,110,,1,,,7,,,
레몬에이드,480,120,,1,,,30,,,
자색고구마라떼,360,440,,9,11,,75,,,
녹차라떼,360,345,,9,7,,65,,,
밀크티,360,295,,10,7,,85,,,
초콜릿라떼,360,400,,12,7,,95,,,
아이스티 레몬,420,135,,0,,,,,,
아이스티 복숭아,420,155,,0,,,,,,
아이스티 석류,420,125,,0,,,,,,
레몬차,360,175,,0,,,55,,,
제주 한라 녹차,360,0,,0,,,,,,
한라봉차,360,170,,0,,,,,,
자몽차,360,145,,0,,,10,,,
사과유자차,360,130,,0,,,95,,,
허브차_페퍼민트,360,0,,0,,,,,,
허브차_캐모마일,360,0,,0,,,,,,
홍차_얼그레이,360,0,,0,,,,,,
단팥 아이스탑,746,1150,,40,15,,400,,,
허니버터 크리스피볼,237,860,,17,19,,690,,,
메이플 허니브레드,280,915,,17,30,,1070,,,
갈릭치즈 크리스피볼,244,875,,26,17,,940,,,
갈릭치즈 허니브레드,260,840,,32,20,,1400,,,
프리미엄 블렌드 딥라떼 HOT,354,141,,7,,9,100,,5,
프리미엄 블렌드 딥라떼 ICED,354,109,,5,,7,75,,4,
인절미 크림라떼 HOT,354,496,,11,,49,191,,15,
인절미 크림라떼 ICED,354,408,,7,,43,124,,11,
리스트레또 딜라이트 HOT,354,303,,12,,31,199,,11,
리스트레또 딜라이트 ICED,354,237,,7,,24,121,,9,
티라미스 크림라떼 ICED,354,283,,5,,14,123,,13,
밀크티 크림라떼 ICED,354,257,,5,,18,84,,12,
그린티 크림라떼 ICED,354,258,,5,,17,83,,12,
스위트 크림라떼 ICED,354,222,,5,,10,82,,12,
콜드브루 라떼 ICED,354,125,,5,,8,85,,4,
콜드브루,354,15,,0,,0,,,0,
아포가토,150,183,,4,,12,36,,6,
리얼 벨지안 카페모카,354,508,,11,,35,100,,20,
바닐라딜라이트 HOT,354,321,,10,,29,220,,12,
바닐라딜라이트 ICED,354,245,,6,,24,161,,9,
카라멜 마키아또 HOT,354,246,,8,,24,136,,7,
카라멜 마키아또 ICED,354,174,,5,,20,81,,4,
카페모카 HOT,354,332,,9,,29,142,,14,
카페모카 ICED,354,287,,6,,30,92,,11,
카푸치노 HOT,354,160,,7,,10,115,,6,
카페라떼 HOT,354,180,,8,,12,130,,7,
카페라떼 ICED,354,103,,5,,6,72,,4,
아메리카노 HOT,354,11,,1,,0,,,0,
아메리카노 ICED,354,11,,1,,0,,,0,
에스프레소 마키아또 HOT,25,12,,1,,0,5,,0,
에스프레소 꼰빠냐 HOT,25,61,,1,,1,9,,5,
에스프레소 HOT,25,5,,0,,0,,,0,
우리 사과ㆍ히비스커스 HOT,354,140,,0,,33,13,,0,
우리 사과ㆍ히비스커스 ICED,354,140,,0,,33,13,,0,
우리 사과ㆍ레몬차 HOT,354,208,,0,,49,20,,0,
우리 사과ㆍ레몬차 ICED,354,208,,0,,49,20,,0,
천도복숭아 라떼 ICED,354,264,,5,,47,80,,4,
유자 캐모마일 HOT,354,188,,0,,34,14,,0,
유자 캐모마일 ICED,354,188,,0,,34,14,,0,
복숭아 얼그레이 HOT,354,102,,0,,25,3,,0,
복숭아 얼그레이 ICED,354,102,,0,,25,3,,0,
고구마라떼 HOT,354,438,,8,,32,132,,20,
고구마라떼 ICED,354,319,,6,,23,93,,14,
히비스커스블렌드 HOT,354,0,,0,,0,,,0,
히비스커스블렌드 ICED,354,0,,0,,0,,,0,
피치우롱 HOT,354,0,,0,,0,,,0,
피치우롱 ICED,354,0,,0,,0,,,0,
페퍼민트 HOT,354,2,,0,,0,,,0,
페퍼민트 ICED,354,1,,0,,0,,,0,
캐모마일 HOT,354,3,,0,,0,3,,0,
캐모마일 ICED,354,1,,0,,0,2,,0,
얼그레이 HOT,354,3,,0,,0,,,0.1,
얼그레이 ICED,354,2,,0,,0,,,0,
해남 녹차 HOT,354,4,,0,,0,,,0,
해남 녹차 ICED,354,2,,0,,0,,,0,
홍자몽차 HOT,354,113,,0,,17,19,,0,
홍자몽차 ICED,354,113,,0,,17,19,,0,
스퀴즈레몬차 HOT,354,195,,0,,35,19,,0,
스퀴즈레몬차 ICED,354,195,,0,,35,19,,0,
고흥 유자차 HOT,354,282,,0,,51,21,,0,
고흥 유자차 ICED,354,282,,0,,51,21,,0,
제주 한라봉 감귤차 HOT,354,203,,1,,44,5,,0,
제주 한라봉 감귤차 ICED,354,203,,1,,44,5,,0,
밀크티라떼 HOT,354,256,,9,,31,142,,7,
밀크티라떼 ICED,354,197,,6,,26,96,,5,
그린티라떼 HOT,354,258,,9,,30,139,,7,
그린티라떼 ICED,354,198,,6,,26,93,,5,
핫초코 HOT,354,404,,10,,45,166,,15,
핫초코 ICED,354,314,,7,,35,112,,12,
화이트초코 HOT,354,419,,10,,41,154,,17,
화이트초코 ICED,354,354,,7,,36,104,,14,
리얼 벨지안 초코 HOT,354,624,,13,,39,146,,29,
리얼 벨지안 초코 ICED,354,518,,8,,31,64,,25,
민트초코 HOT,354,320,,11,,44,213,,7,
민트초코 ICED,354,363,,8,,40,164,,14,
천도복숭아 주스,354,112,,2,,13,,,0,
천도복숭아 스무디,354,197,,1,,46,6,,0,
망고오렌지 스무디,354,209,,1,,50,15,,0,
딸기 스무디,354,264,,3,,58,48,,2,
오렌지파인착즙스무디,354,187,,2,,19,25,,0,
비트사과착즙스무디,354,186,,3,,19,43,,0,
청포도케일착즙스무디,354,209,,2,,27,30,,0,
오렌지파인착즙주스,354,107,,1,,19,24,,0,
비트사과착즙주스,354,106,,2,,19,42,,0,
청포도케일착즙주스,354,129,,1,,27,29,,0,
블루베리 요거트 할리치노,354,287,,7,,56,176,,2,
플레인 요거트 할리치노,354,302,,8,,58,210,,2,
밀크티 할리치노,354,316,,2,,52,76,,9,
그린티 할리치노,354,412,,7,,57,143,,12,
다크초코칩 할리치노,354,658,,8,,50,45,,29,
민트 초코 할리치노,354,511,,8,,46,194,,24,
딸기치즈케익 할리치노,354,432,,7,,39,171,,14,
콜드브루 모카 할리치노,354,407,,6,,57,193,,12,
콜드브루 할리치노,354,307,,5,,34,178,,12,
더블베리 스파클링,472,144,,0,,33,19,,0,
복숭아 자두 스파클링,472,153,,0,,38,5,,0,
자몽 파인 스파클링 new,472,208,,0,,46,18,,0,
청포도 스파클링,472,189,,0,,42,19,,0,
페퍼로니 치즈 바게트,200,512,,26,,5,1229,,8,
미트볼 칠리 치즈,233,570,,26,,14,1229,,8,
명란 에그 마요,288,729,,32,,6,1874,,7.8,
반반 마요 (에그/감자),285,684,,26,,9,1577,,6.7,
당근 크림치즈 라운드,203,739,,8,,41,482,,19,
인절미 크림 쉬폰 라운드,170,602,,9,,30,216,,15.7,
복숭아 얼그레이,168,609,,6,,34,183,,28,
아이스크림 사과 타르트,206,445,,4,,46,100,,12.5,
쌀 촉촉 카스테라,180,495,,11,,69,85,,2.5,
아이스크림 꽂힌 티라미스,190,468,,8,,28,165,,20,
블루베리 마스카포네 라운드,168,547,,8,,33,132,,21.9,
단호박 치즈 라운드,233,665,,15,,25,362,,20.1,
페스토 햄 모짜렐라,185,450,,25,,8,1010,,4.1,
올리브 베이컨 치아바타,198,560,,25,,3,1110,,7,
오트밀 치킨 할라피뇨,220,444,,26,,2,1018,,4.9,
에그 마요,270,651,,31,,4,1620,,7,
더블 베리 치즈 라운드,210,620,,12,,36,573,,22.7,
더블 초코 라운드,231,951,,9,,66,309,,4.2,
딸기 갸토 쇼콜라,121,406,,6,,32,57,,3.1,
리얼벨지안 초코케익,162,685,,8,,42,226,,21.1,
마스카포네 티라미스,131,345,,4,,3,105,,14,
뉴욕치즈,125,313,,6,,13,150,,6.3,
쿠키&치즈,141,247,,4,,10,33,,11.4,
초코쿠키 파운드케익,80,380,,5,,19,130,,15,
얼그레이 파운드케익,80,335,,5,,17,90,,13,
햄치즈 데니쉬식빵,100,350,,9,,8,320,,9,
갈릭 데니쉬식빵,100,335,,10,,3,470,,9,
크로크무슈,160,470,,10,,55,845,,10,
스위트콘 에그데니쉬,130,487,,14,,10,489,,11.3,
베이컨 에그 데니쉬,120,485,,15,,7,521,,12.6,
초코칩 스콘,105,508,,8,,19,421,,12.8,
크랜베리 스콘,105,493,,7,,20,418,,10.4,
데니쉬 와플,72,276,,5,,12,162,,6.1,
치즈 퐁듀 바게트볼,125,442,,10,,3,662,,4.4,
초콜릿 카라멜 바게트볼,147,545,,10,,20,621,,11.1,
허니바게트볼,130,488,,9,,23,604,,6.2,
머쉬룸 수프볼,206,370,,10,,14,758,,5.1,
블루베리 크림치즈 머핀,90,450,,7,,26,540,,7,
치즈베이글&크림치즈,148,479,,14,,10,296,,12.6,
플레인 베이글&크림치즈,138,366,,13,,6,598,,8.1,
블루베리 베이글&크림치즈,138,371,,12,,7,646,,8.2,
치킨 크림 리조또,241,454,,16,,4,511,,12,
스파이시 씨푸드 리조또,241,361,,14,,6,648,,6.1,
로제 펜네 그라탕,241,383,,22,,5,797,,9.1,
멜로한 연유 라떼,316.3,192,,10.4,,0,9.6,,9,
아이스 멜로한 연유 라떼,216.3,137,,7.4,,0,6.9,,6.4,
멜로우 크림 라떼,366.7,224.2,,11.1,,0,11.2,,19.2,
아이스 멜로우 크림 라떼,266.7,169.2,,8.1,,0,8.5,,16.6,
에스프레소,30,1,,0.3,,0,,,0,
카페 아메리카노,360,1,,0.3,,0,,,0,
아이스 카페 아메리카노,420,1,,0.3,,0,,,0,
카페 라떼,360,126,,7.8,,0,6,,6.25,
아이스 카페 라떼,420,91,,5.7,,0,5,,4.5,
카푸치노,360,116,,7.2,,0,6,,5.75,
아이스 카푸치노,420,61,,3.9,,0,3,,3,
바닐라 라떼,360,117,,7.5,,0,6,,6,
아이스 바닐라 라떼,420,78,,5.1,,0,4,,8,
헤이즐넛 라떼,360,158,,7.6,,0,7.9,,7.4,
아이스 헤이즐넛 라떼,420,103,,4.6,,0,5.2,,4.8,
카라멜 마끼아또,360,162,,5.6,,0,9,,14,
아이스 카라멜 마끼아또,420,162,,5.6,,0,9,,14,
카페모카,360,175,,8.4,,0,9,,14,
아이스 카페모카,420,137,,6.1,,0,9,,14,
매드벨벳,239.6,106.6,,4.4,,0,5.33,,10.9,
초콜릿 밀크,360,204,,8.5,,0,10,,15,
아이스 초콜릿 밀크,420,169,,6.4,,0,9,,13.2,
그린티 라떼,360,146,,8.3,,0,7,,6.25,
아이스 그린티 라떼,420,111,,6.2,,0,6,,4.5,
밀크티,360,125,,27.5,,0,6,,6.25,
아이스 밀크티,420,90,,5.4,,0,5,,4.5,
고구마 라떼,360,128,,7.5,,0,6,,6.25,
아이스 고구마 라떼,420,93,,5.4,,0,5,,4.5,
레드벨벳 라떼,360,211,,8.7,,0,10,,6.25,
아이스 레드벨벳 라떼,420,114.1,,5.6,,0,5.7,,4.9,
다크 쇼콜라,294,246.7,,11.1,,0,12.3,,10.5,
아이스 다크 쇼콜라,144,171.7,,6.6,,0,8.6,,9.6,
2019 피치플럼 빙수,392.5,121,,9.2,,0,6.1,,5.4,
에스프레소 프라노베,420,153,,5.3,,0,8,,2.5,
모카 프라노베,420,179,,5.3,,0,9,,11.2,
카라멜 프라노베,420,212,,4.3,,0,11,,11.2,
초코 프라노베,420,228,,7,,0,11,,11.7,
넛츠 프라노베,420,290,,5,,0,14,,11,
그린티 프라노베,420,154,,5.8,,0,7,,3,
자바칩 프라노베,420,313,,5,,0,15,,20,
쿠키앤크림 프라노베,420,317,,5,,0,15,,20,
다크쇼콜라 프라노베,420,230.7,,9,,0,11.53,,12.7,
스무벨라 딸기,420,52,,1,,0,3,,0.7,
스무벨라 키위,420,48,,0.9,,0,2,,0,
스무벨라 망고,420,12,,0.7,,0,1,,0,
베리베리 스무벨라,420,54,,0.9,,0,3,,1.1,
요거스무벨라 플레인,420,119,,8,,0,6,,3.75,
요거스무벨라 딸기,420,98,,4.9,,0,5,,3.53,
요거스무벨라 블루베리,420,98,,4.9,,0,5,,3.53,
맑은 유자 플럼 티,360,15.4,,0.2,,0,0.77,,0,
아이스 맑은 유자 플럼 티,420,15.4,,0.2,,0,0.77,,0,
시나몬 진저 티,360,10,,0,,0,0.5,,0,
아이스 시나몬 진저 티,420,10,,0,,0,0.5,,0,
맑은 배 도라지 티,360,12.1,,0.1,,0,0.6,,0,
아이스 맑은 배 도라지 티,420,12.1,,0.1,,0,0.6,,0,
레드클렌즈,240,40,,1,,0,2,,0,
루트클렌즈,240,54,,1,,0,3,,0,
엘로우 클렌즈,240,23,,1,,0,1,,0,
그린 클렌즈,240,70,,1,,18,,,0,
유자차,360,30,,0,,0,1.5,,0,
레몬 에이드,420,29,,0.9,,0,1,,0,
자몽 에이드,420,29,,0.9,,0,1,,0,
라임에이드,360,8,,0,,0,,,0,
얼그레이 클래식,360,0,,0,,0,,,0,
캐모마일,360,3,,0,,0,,,0,
머스캣,360,6,,1,,1,,,0,
루이보스 슈가플럼,360,0,,0,,0,,,0,
레몬 티,360,25,,0.9,,0,1,,1,
아이스 레몬 티,420,25,,0.9,,0,1,,1,
자몽 티,360,25,,0.9,,0,1,,1,
아이스 자몽 티,420,25,,0.9,,0,1,,1,
딸기 주스,420,70,,2,,0,3,,1,
키위 주스,420,5,,0,,0,,,0.3,
토마토 주스,420,9,,2,,0,,,0.3,
2019 딸기 빙수,536,141.4,,17,,0,7.1,,8.7,
2019 곡물 팥빙수,430.5,260.7,,32.7,,0,13,,7,
2019 포도 빙수,463,124.6,,10.2,,0,6.23,,8.7,
2019 곡물 팥빙수(SNOW),657.5,341.2,,29.1,,0,17.1,,16.2,
2019 딸기 요거트 빙수(SNOW),651.5,218.1,,9.2,,0,10.9,,19.3,
2019 피치플럼 빙수(SNOW),538,190.3,,8.8,,0,9.5,,4.3,
2019 포도 빙수(SNOW),647,188.6,,11.9,,0,9.4,,9.1,
2019 쿠키앤초코 빙수(SNOW),467,367.5,,11.9,,0,18.4,,21.3,
콘 소시지,145,905.9,,12.8,,0,45.2,,4,
소시지 치즈 롤,148,972.3,,12.2,,0,48.6,,4,
콘 치즈,143,505.4,,7.7,,0,25.2,,0,
슈크림 브레드,183.5,90.5,,12.4,,0,4.52,,3.3,
고구마 치즈 브레드,172,289.4,,13.5,,0,14.4,,0.6,
크로크무슈,220,1293,,20,,0,65,,6,
허니 갈릭 부기브레드,170,492,,9,,0,25,,2,
스윗 칠리 부기브레드,170,470,,8,,0,24,,1.9,
아이스 크로칸 슈,80,135,,7,,0,7,,2.73,
미니 허니브레드 _ 플레인,130,280.01,,2.01,,0,1,,12.14,
미니 허니브레드 _ 초코,130,288.04,,2.03,,0,,,12.14,
미니 허니브레드 _ 카라멜,130,276.34,,1.77,,0,,,12.14,
미니 허니브레드 _ 녹차,130,270.1,,1.8,,0,13,,12.14,
컬러 베이글,110,161,,6.3,,0,8,,0,
버터 카야 토스트,128,131.4,,9,,0,6.57,,0,
카야토스트,89,501,,20,,0,25,,6,
블루베리 토스트,95,514,,8,,0,26,,5,
크림치즈 프레즐,99,310,,7,,0,16,,3,
스낵의 정석(오리지널),30,40,,2,,6,2,,0.4,
스낵의 정석(그린애플),30,70,,3,,10,4,,0.3,
더치커피(에티오피아 예가체프),375,0,,2.5,,0,,,4,
더치커피(케냐AA),375,0,,2,,0,,,0,
더치커피(에티오피아 예가체프),1000,6.7,,6.7,,0,,,0,
더치커피(케냐AA),1000,157.8,,2,,0,,,1.4,
오리지널 핫도그,143,292,,14.3,,4,,,4.6,
어니언 핫도그,156,359,,14.3,,6.9,,,5.7,
렐리쉬 핫도그,173,322,,14.7,,4,,,4.6,
화이트 렐리쉬 핫도그,178,342,,16,,6,,,6.9,
할리피뇨치즈 핫도그,178,342,,16,,6,,,6.9,
시카고 핫도그,181,305,,14.7,,4.3,,,4.6,
칠리치즈 핫도그,161,350,,16.2,,7.1,,,5.6,
튜나마요 핫도그,161,383,,16.2,,7.1,,,5.6,
페퍼로니 핫도그,161,398,,16.2,,7.1,,,5.6,
어니언링 핫도그,199,515,,16.7,,9.9,,,7.2,
스파이스치킨 핫도그,194,363,,20.5,,10.5,,,5,
치즈불고기 핫도그,186,421,,24.8,,9.6,,,8.6,
고르곤졸라 핫도그,152,373,,20.2,,4,,,7.7,
치킨텐더 핫도그,174,330,,13.4,,7.9,,,3.5,
아메리카노 HOT,290,34,,1.1,,0,,,0,
아메리카노 ICE,390,34,,1.1,,0,,,0,
카페라떼 HOT,300,192,,8.6,,0,,,0,
카페라떼 ICE,390,160,,7.1,,0,,,0,
카페모카 HOT,284,296,,7.9,,25.7,,,0,
카페모카 ICE,390,264,,6.4,,25.7,,,0,
카라멜모카 HOT,279,270,,7.5,,22.1,,,0,
카라멜모카 ICE,390,238,,6,,22.1,,,0,
카라멜라떼 HOT,320,257,,8.6,,16.1,,,0,
카라멜라떼 ICE,390,213,,6.5,,16.1,,,0,
카라멜마끼아또 HOT,294,243,,7.1,,18.8,,,0,
카라멜마끼아또 ICE,390,211,,5.6,,18.8,,,0,
카푸치노 HOT,270,148,,6.5,,0,,,0,
카푸치노 ICE,390,129,,5.6,,0,,,0,
초코라떼 HOT,290,277,,8.2,,22.7,,,0,
초코라떼 ICE,390,245,,6.7,,22.7,,,0,
바닐라카페라떼 HOT,320,260,,8.6,,16.9,,,0,
바닐라카페라떼 ICE,390,216,,6.5,,16.9,,,0,
그린티라떼 HOT,280,269,,10.5,,18,,,0,
그린티라떼 ICE,390,237,,9,,18,,,0,
블랙빈 라떼 HOT,280,270,,8.3,,25.5,,,0,
블랙빈 라떼 ICE,390,239,,6.8,,25.5,,,0,
딸기 스무디,390,297,,3,,47.7,,,1.3,
키위 스무디,390,306,,3,,40.4,,,1,
망고 스무디,390,297,,3,,45.9,,,0.5,
블루베리 스무디,390,315,,3,,47.7,,,1,
버터갈릭 포테이토 S,170,390,,3,,3.5,,,5,
버터갈릭 포테이토 L,240,780,,6,,7,,,10,
치즈갈릭 포테이토 S,170,390,,3.1,,3.5,,,5,
치즈갈릭 포테이토 L,340,780,,6.2,,7,,,10,
오리지널 포테이토 S,150,324,,3.9,,0.7,,,4,
오리지널 포테이토 L,300,649,,7.8,,1.3,,,7.9,
고르곤졸라 포테이토 S,172,408,,9.9,,0.7,,,7.1,
고르곤졸라 포테이토 L,344,815,,19.8,,1.3,,,14.2,
칠리치즈 포테이토 S,181,385,,6.9,,3.4,,,6.3,
칠리치즈 포테이토 L,362,769,,13.9,,4.9,,,12.6,
사워크림 포테이토 S,181,471,,6.5,,4.5,,,8.1,
사워크림 포테이토 L,362,943,,13,,9.1,,,16.2,
스위트 칠리 포테이토 S,171,370,,3.8,,13.9,,,4,
스위트 칠리 포테이토 L,342,740,,7.6,,27.8,,,8,
할라치뇨치즈 포테이토 S,183,365,,5.3,,2.4,,,5.9,
할라치뇨치즈 포테이토 L,366,729,,10.6,,4.8,,,11.9,
어니언 포테이토 S,176,394,,3.9,,3.5,,,5,
어니언 포테이토 L,352,788,,7.9,,7.1,,,10.1,
치즈시즈닝 포테이토 S,150,313,,3.7,,0.7,,,4,
치즈시즈닝 포테이토 L,300,625,,7.4,,1.3,,,7.9,
허니버터 시즈닝 포테이토 S,150,313,,3.7,,0.7,,,4,
허니버터 시즈닝 포테이토 L,300,625,,7.4,,1.3,,,7.9,
오렌지에이드,390,136,,2,,12,,,0,
레몬에이드,390,155,,0,,20.4,,,0,
자몽에이드,390,116,,2,,4,,,0,
청포도 에이드,390,183,,0,,28,,,0,
치즈스틱 S,75,184,,13.5,,234,,,5.2,
치즈스틱 L,150,369,,27,,4.9,,,10.4,
미니츄러스 S,73,133,,3,,0,,,0,
미니츄러스 L,146,266,,6,,0,,,0,
어니언링 S,115,365,,4.9,,2.7,,,3.7,
어니언링 L,230,729,,9.8,,5.3,,,7.4,
치킨텐더 S,113,233,,13.3,,0.7,,,3.7,
치킨텐더 L,226,465,,26.7,,1.3,,,7.3,
크림치즈 프레즐,99,250,,7,,5,,,3,
벨지움 와플,75,346,,6.1,,21.8,,,4.9,
플레인 베이글,113,317,,12,,12.4,,,1.6,
콘덕(오리지널/체다치즈),143,395,,12.7,,6,,,5.3,
페퍼소시지,99,250,,14.6,,0.9,,,6.3,
흑당소보루,85,295,,6,,20,270,,3.2,
자꾸 생각나는 갈릭바게뜨,45,200,,3,,6,220,,4.9,
쫄깃한 왕꽈배기,110,410,,6,,14,420,,3.4,
흑당 가득 품은 호떡,105,330,,7,,16,390,,3.5,
베사멜버섯치즈빵,70,175,,6,,2,340,,2,
새우감자봉,95,360,,6,,8,360,,3.1,
썸머 초코바나나번,80,255,,6,,13,230,,6,
토종효모 참 고소한 곡물식빵,100,310,,9,,7,470,,3.7,
토종효모 호두브레드,100,315,,10,,6,540,,1.4,
강원도 찰옥수수소보루크림빵,80,315,,5,,15,210,,8,
초코 왕소라빵 플러스,75,240,,5,,11,190,,4.1,
미니 통밀후르츠 브레드,115,320,,8,,28,560,,0,
토종효모 참깨브레드,100,305,,10,,6,360,,2.4,
단팔 소보루빵 플러스,105,335,,8,,23,260,,3.4,
달콤한 꿀도넛,35,90,,1,,5,100,,0.8,
시나몬롤식빵,108,415,,6,,30,330,,9,
미니 올리브 브레드,100,240,,7,,0,630,,0,
블루베리파이,95,390,,5,,22,330,,11,
후레쉬크림샌드빵,125,455,,9,,16,420,,11,
무설탕 멀티그레인 토스트,100,305,,11,,0,500,,3.2,
크림치즈시나몬롤,110,430,,10,,9,210,,8,
골든스윗토스트,100,290,,8,,10,520,,2.7,
꽃맛살고로케,110,400,,7,,5,470,,3.4,
꿀슈크림빵,84,215,,5,,16,180,,2.8,
명품 잡채고로케,120,400,,7,,7,560,,3.2,
몬스터 치즈번,100,350,,6,,12,290,,15,
찰진 호박 찜케익,100,300,,4,,25,340,,0.7,
